Time	v	Theoretical value
0	0	0
0.15	1.47118	1.47118
0.3	2.9404	5.8653
0.45	4.40575	13.0117
0.6	5.8653	22.298
0.75	7.31717	32.4322
0.9	8.75951	41.6814
1.05	10.1905	48.6814
1.2	11.6085	53.0913
1.35	13.0117	55.4413
1.5	14.3986	56.5222
1.65	15.7676	56.9585
1.8	17.1174	57.1148
1.95	18.4465	57.1648
2.1	19.7537	57.1792
2.25	21.0379	57.1828
2.4	22.298	57.1837
2.55	23.5331	57.1839
2.7	24.7424	57.1839
2.85	25.9249	57.1839
3	27.0803	57.1839
3.15	28.2078	57.1839
3.3	29.307	57.1839
3.45	30.3777	57.1839
3.6	31.4194	57.1839
3.75	32.4322	57.1839
3.9	33.4158	57.1839
4.05	34.3702	57.1839
4.2	35.2956	57.1839
4.35	36.1921	57.1839
4.5	37.0598	57.1839
4.65	37.8991	57.1839
4.8	38.7102	57.1839
4.95	39.4936	57.1839
5.1	40.2496	57.1839
5.25	40.9787	57.1839
5.4	41.6814	57.1839
5.55	42.3583	57.1839
5.7	43.0098	57.1839
5.85	43.6366	57.1839
6	44.2393	57.1839
6.15	44.8184	57.1839
6.3	45.3747	57.1839
6.45	45.9087	57.1839
6.6	46.421	57.1839
6.75	46.9125	57.1839
6.9	47.3836	57.1839
7.05	47.835	57.1839
7.2	48.2674	57.1839
7.35	48.6814	57.1839
7.5	49.0777	57.1839
7.65	49.4569	57.1839
7.8	49.8195	57.1839
7.95	50.1663	57.1839
8.1	50.4977	57.1839
8.25	50.8145	57.1839
8.4	51.117	57.1839
8.55	51.406	57.1839
8.7	51.6819	57.1839
8.85	51.9453	57.1839
9	52.1966	57.1839
9.15	52.4364	57.1839
9.3	52.6651	57.1839
9.45	52.8833	57.1839
9.6	53.0913	57.1839
9.75	53.2896	57.1839
9.9	53.4786	57.1839
10.05	53.6588	57.1839
10.2	53.8304	57.1839
10.35	53.9939	57.1839
10.5	54.1497	57.1839
10.65	54.2981	57.1839
10.8	54.4394	57.1839
10.95	54.5739	57.1839
11.1	54.702	57.1839
11.25	54.8239	57.1839
11.4	54.94	57.1839
11.55	55.0505	57.1839
11.7	55.1556	57.1839
11.85	55.2556	57.1839
12	55.3508	57.1839
12.15	55.4413	57.1839
12.3	55.5275	57.1839
12.45	55.6094	57.1839
12.6	55.6874	57.1839
12.75	55.7615	57.1839
12.9	55.832	57.1839
13.05	55.8991	57.1839
13.2	55.9629	57.1839
13.35	56.0235	57.1839
13.5	56.0811	57.1839
13.65	56.1359	57.1839
13.8	56.1881	57.1839
13.95	56.2376	57.1839
14.1	56.2847	57.1839
14.25	56.3295	57.1839
14.4	56.372	57.1839
14.55	56.4125	57.1839
14.7	56.4509	57.1839
14.85	56.4875	57.1839
15	56.5222	57.1839
15.15	56.5552	57.1839
15.3	56.5866	57.1839
15.45	56.6164	57.1839
15.6	56.6447	57.1839
15.75	56.6717	57.1839
15.9	56.6973	57.1839
16.05	56.7216	57.1839
16.2	56.7447	57.1839
16.35	56.7666	57.1839
16.5	56.7875	57.1839
16.65	56.8073	57.1839
16.8	56.8261	57.1839
16.95	56.844	57.1839
17.1	56.861	57.1839
17.25	56.8772	57.1839
17.4	56.8925	57.1839
17.55	56.9071	57.1839
17.7	56.921	57.1839
17.85	56.9341	57.1839
18	56.9466	57.1839
18.15	56.9585	57.1839
18.3	56.9698	57.1839
18.45	56.9805	57.1839
18.6	56.9907	57.1839
18.75	57.0004	57.1839
18.9	57.0096	57.1839
19.05	57.0183	57.1839
19.2	57.0266	57.1839
19.35	57.0345	57.1839
19.5	57.042	57.1839
19.65	57.0491	57.1839
19.8	57.0558	57.1839
19.95	57.0623	57.1839
20.1	57.0684	57.1839
20.25	57.0741	57.1839
20.4	57.0796	57.1839
20.55	57.0849	57.1839
20.7	57.0898	57.1839
20.85	57.0946	57.1839
21	57.099	57.1839
21.15	57.1033	57.1839
21.3	57.1073	57.1839
21.45	57.1112	57.1839
21.6	57.1148	57.1839
21.75	57.1183	57.1839
21.9	57.1216	57.1839
22.05	57.1247	57.1839
22.2	57.1277	57.1839
22.35	57.1305	57.1839
22.5	57.1332	57.1839
22.65	57.1357	57.1839
22.8	57.1381	57.1839
22.95	57.1404	57.1839
23.1	57.1426	57.1839
23.25	57.1447	57.1839
23.4	57.1466	57.1839
23.55	57.1485	57.1839
23.7	57.1503	57.1839
23.85	57.152	57.1839
24	57.1536	57.1839
24.15	57.1551	57.1839
24.3	57.1565	57.1839
24.45	57.1579	57.1839
24.6	57.1592	57.1839
24.75	57.1605	57.1839
24.9	57.1616	57.1839
25.05	57.1628	57.1839
25.2	57.1638	57.1839
25.35	57.1648	57.1839
25.5	57.1658	57.1839
25.65	57.1667	57.1839
25.8	57.1676	57.1839
25.95	57.1684	57.1839
26.1	57.1692	57.1839
26.25	57.1699	57.1839
26.4	57.1706	57.1839
26.55	57.1713	57.1839
26.7	57.1719	57.1839
26.85	57.1725	57.1839
27	57.1731	57.1839
27.15	57.1736	57.1839
27.3	57.1741	57.1839
27.45	57.1746	57.1839
27.6	57.1751	57.1839
27.75	57.1755	57.1839
27.9	57.176	57.1839
28.05	57.1764	57.1839
28.2	57.1767	57.1839
28.35	57.1771	57.1839
28.5	57.1774	57.1839
28.65	57.1778	57.1839
28.8	57.1781	57.1839
28.95	57.1784	57.1839
29.1	57.1786	57.1839
29.25	57.1789	57.1839
29.4	57.1792	57.1839
29.55	57.1794	57.1839
29.7	57.1796	57.1839
29.85	57.1798	57.1839
30	57.18	57.1839
