bin	count
-100	0
-98	0
-96	0
-94	0
-92	0
-90	0
-88	0
-86	0
-84	0
-82	0
-80	0
-78	0
-76	0
-74	0
-72	0
-70	0
-68	0
-66	0
-64	0
-62	0
-60	0
-58	0
-56	0
-54	0
-52	0
-50	0
-48	0
-46	4
-44	3
-42	5
-40	20
-38	53
-36	120
-34	224
-32	466
-30	817
-28	1556
-26	2679
-24	4503
-22	6997
-20	10829
-18	15707
-16	22436
-14	30204
-12	38610
-10	48542
-8	57918
-6	66596
-4	73473
-2	78107
0	79961
2	77914
4	74047
6	66744
8	57790
10	48060
12	38826
14	30037
16	22108
18	16003
20	10763
22	7171
24	4447
26	2814
28	1605
30	903
32	518
34	231
36	99
38	60
40	16
42	8
44	3
46	2
48	1
50	0
52	0
54	0
56	0
58	0
60	0
62	0
64	0
66	0
68	0
70	0
72	0
74	0
76	0
78	0
80	0
82	0
84	0
86	0
88	0
90	0
92	0
94	0
96	0
98	0
100	0
