bin	count
-100	0
-99	0
-98	0
-97	0
-96	0
-95	0
-94	0
-93	0
-92	0
-91	0
-90	0
-89	0
-88	0
-87	0
-86	0
-85	0
-84	0
-83	0
-82	0
-81	0
-80	0
-79	0
-78	0
-77	0
-76	0
-75	0
-74	0
-73	0
-72	0
-71	0
-70	0
-69	0
-68	0
-67	0
-66	0
-65	0
-64	0
-63	0
-62	0
-61	0
-60	0
-59	0
-58	0
-57	0
-56	0
-55	0
-54	0
-53	0
-52	0
-51	0
-50	0
-49	0
-48	0
-47	0
-46	4
-45	0
-44	3
-43	0
-42	5
-41	0
-40	20
-39	0
-38	53
-37	0
-36	120
-35	0
-34	224
-33	0
-32	466
-31	0
-30	817
-29	0
-28	1556
-27	0
-26	2679
-25	0
-24	4503
-23	0
-22	6997
-21	0
-20	10829
-19	0
-18	15707
-17	0
-16	22436
-15	0
-14	30204
-13	0
-12	38610
-11	0
-10	48542
-9	0
-8	57918
-7	0
-6	66596
-5	0
-4	73473
-3	0
-2	78107
-1	0
0	79961
1	0
2	77914
3	0
4	74047
5	0
6	66744
7	0
8	57790
9	0
10	48060
11	0
12	38826
13	0
14	30037
15	0
16	22108
17	0
18	16003
19	0
20	10763
21	0
22	7171
23	0
24	4447
25	0
26	2814
27	0
28	1605
29	0
30	903
31	0
32	518
33	0
34	231
35	0
36	99
37	0
38	60
39	0
40	16
41	0
42	8
43	0
44	3
45	0
46	2
47	0
48	1
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
